Id,Start,End,Values
3c544c,1,6,7.0668182373046875;46.65954072596663 7.202156066894531;46.73435017213983 7.343605041503906;46.81204585705773 7.484999436598557;46.88927601959745 7.626228332519531;46.965911865234375 7.7690241887019225;47.042944956634 
4b7f5b,1,6,9.350773737980768;47.09056789592161 9.355819702148438;47.084747314453125 9.406974792480469;47.15171813964844 9.317573547363281;47.12677001953125 9.359390258789062;47.08973693847656 9.384933471679688;47.06776428222656 
405f0a,1,6,-3.6013308438388094;41.117264052568856 -3.6070736971768724;41.241418870828916 -3.6104445023970015;41.367901300979874 -3.6133159290660615;41.4927978515625 -3.6166097951489746;41.61825923596398 -3.619867369186011;41.74483477059057 
4ca9d1,4,5,4.0683746337890625;50.95440363479872 4.021812645164696;50.87059020996094 
4b187b,5,6,8.557222806490383;47.4444580078125 8.590415954589844;47.43049621582031 
4690e2,1,6,7.866335782137784;40.51394705045021 8.030131946910512;40.483176021252646 8.194677179509943;40.44914633540784 8.367462158203125;40.41302179886123 8.551607998934658;40.37447654594809 8.699462890625;40.34303283691406 
4b184e,1,1,6.5282905392530495;45.885223388671875 
300092,1,6,6.140955483041159;45.89300537109375 6.261863708496094;45.819598699020126 6.386741079935214;45.743682861328125 6.50830078125;45.669374627582094 6.6408233642578125;45.5953565694518 6.7782295040967995;45.53586280952065 
4008b4,1,5,-0.7271761507601582;51.583465576171875 -0.8284759521484375;51.56447071140095 -0.90484619140625;51.53481693591102 -0.8501042546452703;51.48774719238281 -0.7850770692567568;51.4764404296875 
484cb9,1,5,-0.7584490094865828;53.523193359375 -0.920654296875;53.566131591796875 -1.1038120814731656;53.61094665527344 -1.2910505022321104;53.63653564453125 -1.4725603376115828;53.6612548828125 
4caac8,1,6,-0.7780250343116677;51.83903503417969 -0.6976318359375;51.799373303429554 -0.6161993903082816;51.75897216796875 -0.5375877586570823;51.71974182128906 -0.5483245849609375;51.66804944054555 -0.646514892578125;51.69086003707627 
4249fc,1,6,8.12823486328125;47.7205810546875 8.001568134014422;47.63420492915784 7.8712921142578125;47.5447998046875 7.742966871995192;47.45632882845604 7.616764948918268;47.368950278072035 7.4881439208984375;47.27934265136719 
